154,166,"Jimmy Cobb",NULL,"Male","1929-01-20T00:00:00","Northeast US","Washington, DC","Cobb","Jimmy","1929-01-20T00:00:00"
3470,3822,"J.R. Cobb","James Barney Cobb, Jr.","Male","1944-02-05T00:00:00",NULL,NULL,"Cobb","J.R.",NULL
18854,23739,"Alfred Cobbs",NULL,"Male",NULL,NULL,NULL,"Cobbs","Alfred",NULL
18854,23739,"Alfred Cobbs",NULL,"Male",NULL,NULL,NULL,"Cobbs","Alfred",NULL
3003,3318,"Call Cobbs, Jr.",NULL,"Male","1911-01-01T00:00:00","actual birthdate unknown","Springfield, OH","Cobbs","Call",NULL
18205,20217,"Oto Coberg",NULL,"Male",NULL,"Brazil",NULL,"Coberg","Oto",NULL
9696,10947,"Billy Cobham",NULL,"Male","1944-05-16T00:00:00","New York, NY","Panama","Cobham","Billy","1944-05-16T00:00:00"
7382,8414,"Richard Coburn",NULL,"Male",NULL,NULL,NULL,"Coburn","Richard",NULL
4799,5283,"Dorcas Cochran",NULL,"Female","1903-01-01T00:00:00","USA","Exact location and date of birth unknown. ","Cochran","Dorcas","1903-12-31T00:00:00"
8804,9941,"William Cochran",NULL,"Male",NULL,NULL,NULL,"Cochran","William",NULL
20437,23950,"Pierre Coddes",NULL,"Male",NULL,NULL,NULL,"Coddes","Pierre",NULL
20437,23950,"Pierre Coddes","Pierre Coddee","Male",NULL,NULL,NULL,"Coddes","Pierre",NULL
20437,23950,"Pierre Coddes","Pierre Coddee","Male",NULL,NULL,NULL,"Coddes","Pierre",NULL
18796,20922,"Codó",NULL,"Male",NULL,"Brazil",NULL,"Codó","Codó",NULL
9811,11076,"James Coe","Jimmy Coe, James R. Coe","Male","1921-03-20T00:00:00","USA","Tompkinsville, Kentucky","Coe","James ","1921-03-20T00:00:00"
4607,5064,"Joao Alves Coelho",NULL,"Male",NULL,"Portugal",NULL,"Coelho","Joao",NULL
